team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
Chad,-0.42062325299794817,-0.397727538712152,28,-0.09201055931502652,-0.08700289909328325,0.9120955183903283,0.9166744381045937,-0.022895714285796176,-0.005007660221743274
Yemen,-0.4387533256433748,-0.4218084975997055,53,-0.15198579586588046,-0.14611666910316595,0.8590004820125243,0.8640568885615084,-0.016944828043669313,-0.005869126762714505
Tajikistan,0.1739191750360143,0.1916045597902973,55,0.06171389753935446,0.06798871476429905,1.063657986024136,1.0703532292221407,-0.017685384754282996,-0.006274817224944586
Republic of Ireland,0.6696403208205537,0.6800275607204216,204,0.44936422677306614,0.4563342841676513,1.567315411485848,1.5782778498906331,-0.010387239899867895,-0.006970057394585172
Nepal,-0.9554057006319331,-0.9265736979465011,36,-0.2529007774347826,-0.2452695082799562,0.7765449287811165,0.782493621311259,-0.028832002685431957,-0.0076312691548264255
Eritrea,-0.7867896202335342,-0.695867589575047,10,-0.07152542464287445,-0.06326068996136791,0.9309726076478877,0.9386987324534283,-0.09092203065848714,-0.008264734681506541
Thailand,0.14081006800751308,0.15866412611414152,92,0.0674720091057831,0.07602656042969282,1.0698003145113724,1.07899123224746,-0.017854058106628434,-0.008554551323909712
Comoros,0.05606674597815561,0.11014740954420486,20,0.009345286759852207,0.01835790159070081,1.0093890902980411,1.018527443756471,-0.05408066356604925,-0.009012614830848604
Azerbaijan,0.09563640860887072,0.11639145857285188,172,0.060476330045385725,0.07360048115636222,1.062342451675109,1.0763766868124474,-0.020755049963981156,-0.0131241511109765
England,1.396698667672445,1.4168575942713137,229,0.9721704996614259,0.9862017905414312,2.643676335177036,2.681031987972908,-0.020158926598868643,-0.01403129088000532
Sri Lanka,-1.0430273319393153,-0.9824924254669305,34,-0.26464798353968333,-0.24928912287966892,0.7674760666386665,0.7793546115580632,-0.0605349064723848,-0.015358860660014406
Barbados,-0.8939083434966665,-0.8344583733145249,40,-0.25540167320176793,-0.23841667808986428,0.7746052972749142,0.7878743327166411,-0.0594499701821416,-0.016984995111903656
Lithuania,0.06260226707725121,0.09024538302539373,174,0.03975508745642651,0.057309111848242736,1.04055589779079,1.0589831040322688,-0.02764311594814252,-0.017554024391816227
Sierra Leone,0.10265435206702664,0.16844764566670367,47,0.03282213631815921,0.053857410519286206,1.0333667244844968,1.0553341118831772,-0.06579329359967703,-0.021035274201126997
United States Virgin Islands,-2.1288870574655276,-1.9940244267364573,21,-0.3694754439269168,-0.34607035505343475,0.6910967545729054,0.707462711778659,-0.13486263072907034,-0.023405088873482027
Afghanistan,-0.6958084631548064,-0.5933724682260392,30,-0.160570418484808,-0.13693210805216288,0.8516578490050151,0.8720294278988564,-0.1024359949287672,-0.02363831043264511
Turks and Caicos Islands,-2.4561488567723857,-2.245457845340096,15,-0.3203663770431881,-0.29288580591392555,0.7258830414668914,0.7461073368781271,-0.21069101143228952,-0.027480571129262554
Malawi,-0.13448080608389495,-0.054293088411894966,60,-0.0504296804588409,-0.020359908154460614,0.9508207876030634,0.9798459552880937,-0.08018771767199999,-0.030069772304380286
Costa Rica,0.35755751236043315,0.42546695908228677,165,0.222630524645625,0.2649133896172729,1.2493588811338687,1.3033180900113086,-0.06790944672185362,-0.042282864971647904
Macau,-1.6402640992429822,-1.4047604067990571,24,-0.317469668469455,-0.2718891109933659,0.7279887614527939,0.7619387470362445,-0.2355036924439251,-0.045580557476089134
Brazil,1.2499843601582528,1.317851170685855,217,0.8556678411544479,0.9021252493338503,2.3529452496428847,2.4648359395934603,-0.06786681052760213,-0.04645740817940236
DR Congo,0.5803577762946431,0.6932364868155377,71,0.2409678456639697,0.2878350325374455,1.2724801188970778,1.3335372957128733,-0.1128787105208946,-0.046867186873475825
Samoa,-2.0987352926203453,-1.822836135488664,21,-0.36424249300337275,-0.3163599904567103,0.6947227089192225,0.7287970429580685,-0.27589915713168134,-0.04788250254666243
Luxembourg,0.13610221538443693,0.21178526842696288,175,0.08661086248689315,0.13477244354443094,1.0904722534827165,1.1442763672483194,-0.07568305304252596,-0.04816158105753779
San Marino,-0.829323996560502,-0.7520702072865477,170,-0.5221665923098748,-0.47352568606930784,0.5932338586917705,0.6228025864644904,-0.07725378927395432,-0.048640906240566995
Guam,-1.4474495102948721,-1.1555185947752362,22,-0.2610146699579347,-0.20837220561520653,0.7702696197092752,0.8119047849455563,-0.2919309155196359,-0.05264246434272818
South Sudan,-0.8340089923456492,-0.4010250401718151,14,-0.10242128422122751,-0.04924868914390712,0.9026491996912254,0.9519443620305102,-0.43298395217383406,-0.05317259507732039
